date,btcusdt_close,ethusdt_close
2023-12-29,42066.95,2299.2
2023-12-30,42140.28,2291.68
2023-12-31,42283.58,2281.87
2024-01-01,44179.55,2352.04
2024-01-02,44946.91,2355.34
2024-01-03,42845.23,2209.72
2024-01-04,44151.1,2267.11
2024-01-05,44145.11,2268.78
2024-01-06,43968.32,2240.78
2024-01-07,43929.02,2221.42
2024-01-08,46951.04,2330.44
2024-01-09,46110.0,2344.29
2024-01-10,46653.99,2584.38
2024-01-11,46339.16,2618.01
2024-01-12,42782.73,2522.54
2024-01-13,42847.99,2578.19
2024-01-14,41732.35,2472.87
2024-01-15,42511.1,2511.78
2024-01-16,43137.95,2587.4
2024-01-17,42776.1,2530.19
2024-01-18,41327.5,2470.81
2024-01-19,41659.03,2492.0
2024-01-20,41696.04,2472.01
2024-01-21,41580.33,2457.05
2024-01-22,39568.02,2314.2
2024-01-23,39897.6,2242.6
2024-01-24,40084.88,2235.02
2024-01-25,39961.09,2218.64
2024-01-26,41823.51,2267.68
2024-01-27,42120.63,2267.94
2024-01-28,42031.06,2256.9
2024-01-29,43302.7,2317.6
2024-01-30,42941.1,2343.01
2024-01-31,42580.0,2283.14
2024-02-01,43082.94,2304.28
2024-02-02,43200.0,2309.06
2024-02-03,43011.09,2296.49
2024-02-04,42582.88,2289.79
2024-02-05,42708.7,2301.83
2024-02-06,43098.95,2372.64
2024-02-07,44349.6,2425.1
2024-02-08,45288.65,2419.55
2024-02-09,47132.77,2486.56
2024-02-10,47751.09,2500.24
2024-02-11,48299.99,2507.21
2024-02-12,49917.27,2659.99
2024-02-13,49699.59,2639.99
2024-02-14,51795.17,2774.81
2024-02-15,51880.0,2822.59
2024-02-16,52124.11,2801.8
2024-02-17,51642.64,2785.93
2024-02-18,52137.67,2881.2
2024-02-19,51774.73,2944.8
2024-02-20,52258.82,3014.81
2024-02-21,51849.39,2967.9
2024-02-22,51288.42,2971.4
2024-02-23,50744.15,2922.24
2024-02-24,51568.22,2992.62
2024-02-25,51728.85,3112.59
2024-02-26,54476.47,3175.94
2024-02-27,57037.34,3242.36
2024-02-28,62432.1,3383.1
2024-02-29,61130.98,3340.09
